Investment,Category,Tranche,Scenario,Sample,Technology,Index,Value,Units
Low R&D,BoS R&D,BoS Low R&D,BoS Slow Progress,1,Residential PV,GHG,82590.8679053727,ΔgCO2e/system
Low R&D,BoS R&D,BoS Low R&D,BoS Slow Progress,1,Residential PV,LCOE,0.002678819432228044,Δ$/kWh
Low R&D,BoS R&D,BoS Low R&D,BoS Slow Progress,1,Residential PV,Labor,-146.20048400534597,Δ$/system
Low R&D,BoS R&D,BoS Low R&D,BoS Slow Progress,2,Residential PV,GHG,82590.10018151428,ΔgCO2e/system
Low R&D,BoS R&D,BoS Low R&D,BoS Slow Progress,2,Residential PV,LCOE,0.0030505650357289804,Δ$/kWh
Low R&D,BoS R&D,BoS Low R&D,BoS Slow Progress,2,Residential PV,Labor,-179.72219525224864,Δ$/system
Low R&D,BoS R&D,BoS Low R&D,BoS Slow Progress,3,Residential PV,GHG,82590.34912572104,ΔgCO2e/system
Low R&D,BoS R&D,BoS Low R&D,BoS Slow Progress,3,Residential PV,LCOE,0.002416599483488907,Δ$/kWh
Low R&D,BoS R&D,BoS Low R&D,BoS Slow Progress,3,Residential PV,Labor,-125.27188980766277,Δ$/system
Low R&D,BoS R&D,BoS Low R&D,BoS Slow Progress,4,Residential PV,GHG,82595.03951974817,ΔgCO2e/system
Low R&D,BoS R&D,BoS Low R&D,BoS Slow Progress,4,Residential PV,LCOE,0.0028888696308905365,Δ$/kWh
Low R&D,BoS R&D,BoS Low R&D,BoS Slow Progress,4,Residential PV,Labor,-157.38058286107935,Δ$/system
Low R&D,BoS R&D,BoS Low R&D,BoS Slow Progress,5,Residential PV,GHG,82589.54679884975,ΔgCO2e/system
Low R&D,BoS R&D,BoS Low R&D,BoS Slow Progress,5,Residential PV,LCOE,0.002835969812388553,Δ$/kWh
Low R&D,BoS R&D,BoS Low R&D,BoS Slow Progress,5,Residential PV,Labor,-132.065969647899,Δ$/system
Low R&D,BoS R&D,BoS Low R&D,BoS Slow Progress,6,Residential PV,GHG,82589.0734534644,ΔgCO2e/system
Low R&D,BoS R&D,BoS Low R&D,BoS Slow Progress,6,Residential PV,LCOE,0.0026927168575624078,Δ$/kWh
Low R&D,BoS R&D,BoS Low R&D,BoS Slow Progress,6,Residential PV,Labor,-155.98524239242352,Δ$/system
Low R&D,BoS R&D,BoS Low R&D,BoS Slow Progress,7,Residential PV,GHG,82585.17783522561,ΔgCO2e/system
Low R&D,BoS R&D,BoS Low R&D,BoS Slow Progress,7,Residential PV,LCOE,0.0029574028943713804,Δ$/kWh
Low R&D,BoS R&D,BoS Low R&D,BoS Slow Progress,7,Residential PV,Labor,-157.45340911179392,Δ$/system
Low R&D,BoS R&D,BoS Low R&D,BoS Slow Progress,8,Residential PV,GHG,82593.60730633834,ΔgCO2e/system
Low R&D,BoS R&D,BoS Low R&D,BoS Slow Progress,8,Residential PV,LCOE,0.002942026472896722,Δ$/kWh
Low R&D,BoS R&D,BoS Low R&D,BoS Slow Progress,8,Residential PV,Labor,-184.4235717577992,Δ$/system
Low R&D,BoS R&D,BoS Low R&D,BoS Slow Progress,9,Residential PV,GHG,82586.30350784108,ΔgCO2e/system
Low R&D,BoS R&D,BoS Low R&D,BoS Slow Progress,9,Residential PV,LCOE,0.0028186411653917387,Δ$/kWh
Low R&D,BoS R&D,BoS Low R&D,BoS Slow Progress,9,Residential PV,Labor,-160.43691849381935,Δ$/system
Low R&D,BoS R&D,BoS Low R&D,BoS Slow Progress,10,Residential PV,GHG,82592.27471715433,ΔgCO2e/system
Low R&D,BoS R&D,BoS Low R&D,BoS Slow Progress,10,Residential PV,LCOE,0.00277857148643762,Δ$/kWh
Low R&D,BoS R&D,BoS Low R&D,BoS Slow Progress,10,Residential PV,Labor,-145.35764193238242,Δ$/system
Low R&D,BoS R&D,BoS Low R&D,BoS Slow Progress,11,Residential PV,GHG,82596.54927079174,ΔgCO2e/system
Low R&D,BoS R&D,BoS Low R&D,BoS Slow Progress,11,Residential PV,LCOE,0.002827776508381785,Δ$/kWh
Low R&D,BoS R&D,BoS Low R&D,BoS Slow Progress,11,Residential PV,Labor,-152.65233703130025,Δ$/system
Low R&D,BoS R&D,BoS Low R&D,BoS Slow Progress,12,Residential PV,GHG,82589.01418938919,ΔgCO2e/system
Low R&D,BoS R&D,BoS Low R&D,BoS Slow Progress,12,Residential PV,LCOE,0.0025569656808309,Δ$/kWh
Low R&D,BoS R&D,BoS Low R&D,BoS Slow Progress,12,Residential PV,Labor,-148.34349808205093,Δ$/system
Low R&D,BoS R&D,BoS Low R&D,BoS Slow Progress,13,Residential PV,GHG,82592.71235703229,ΔgCO2e/system
Low R&D,BoS R&D,BoS Low R&D,BoS Slow Progress,13,Residential PV,LCOE,0.002658406369997743,Δ$/kWh
Low R&D,BoS R&D,BoS Low R&D,BoS Slow Progress,13,Residential PV,Labor,-125.97798029959517,Δ$/system
Low R&D,BoS R&D,BoS Low R&D,BoS Slow Progress,14,Residential PV,GHG,82598.41254626098,ΔgCO2e/system
Low R&D,BoS R&D,BoS Low R&D,BoS Slow Progress,14,Residential PV,LCOE,0.0031640449794028414,Δ$/kWh
Low R&D,BoS R&D,BoS Low R&D,BoS Slow Progress,14,Residential PV,Labor,-185.8418904827372,Δ$/system
Low R&D,BoS R&D,BoS Low R&D,BoS Slow Progress,15,Residential PV,GHG,82592.9691929543,ΔgCO2e/system
Low R&D,BoS R&D,BoS Low R&D,BoS Slow Progress,15,Residential PV,LCOE,0.002706980425400893,Δ$/kWh
Low R&D,BoS R&D,BoS Low R&D,BoS Slow Progress,15,Residential PV,Labor,-157.68980800593772,Δ$/system
Low R&D,BoS R&D,BoS Low R&D,BoS Slow Progress,16,Residential PV,GHG,82599.2675821904,ΔgCO2e/system
Low R&D,BoS R&D,BoS Low R&D,BoS Slow Progress,16,Residential PV,LCOE,0.002942083431513212,Δ$/kWh
Low R&D,BoS R&D,BoS Low R&D,BoS Slow Progress,16,Residential PV,Labor,-151.9573639424732,Δ$/system
Low R&D,BoS R&D,BoS Low R&D,BoS Slow Progress,17,Residential PV,GHG,82595.91826638771,ΔgCO2e/system
Low R&D,BoS R&D,BoS Low R&D,BoS Slow Progress,17,Residential PV,LCOE,0.0024419825645306537,Δ$/kWh
Low R&D,BoS R&D,BoS Low R&D,BoS Slow Progress,17,Residential PV,Labor,-129.1853260225912,Δ$/system
Low R&D,BoS R&D,BoS Low R&D,BoS Slow Progress,18,Residential PV,GHG,82593.80105713589,ΔgCO2e/system
Low R&D,BoS R&D,BoS Low R&D,BoS Slow Progress,18,Residential PV,LCOE,0.0025615350228392064,Δ$/kWh
Low R&D,BoS R&D,BoS Low R&D,BoS Slow Progress,18,Residential PV,Labor,-149.90503840105202,Δ$/system
Low R&D,BoS R&D,BoS Low R&D,BoS Slow Progress,19,Residential PV,GHG,82584.26338019357,ΔgCO2e/system
Low R&D,BoS R&D,BoS Low R&D,BoS Slow Progress,19,Residential PV,LCOE,0.0029879302073989727,Δ$/kWh
Low R&D,BoS R&D,BoS Low R&D,BoS Slow Progress,19,Residential PV,Labor,-174.50350436543044,Δ$/system
Low R&D,BoS R&D,BoS Low R&D,BoS Slow Progress,20,Residential PV,GHG,82590.47017449331,ΔgCO2e/system
Low R&D,BoS R&D,BoS Low R&D,BoS Slow Progress,20,Residential PV,LCOE,0.0025891900758074904,Δ$/kWh
Low R&D,BoS R&D,BoS Low R&D,BoS Slow Progress,20,Residential PV,Labor,-113.21592386505245,Δ$/system
Low R&D,BoS R&D,BoS Low R&D,BoS Slow Progress,21,Residential PV,GHG,82599.64117343772,ΔgCO2e/system
Low R&D,BoS R&D,BoS Low R&D,BoS Slow Progress,21,Residential PV,LCOE,0.002938461257275121,Δ$/kWh
Low R&D,BoS R&D,BoS Low R&D,BoS Slow Progress,21,Residential PV,Labor,-151.80402919591984,Δ$/system
Low R&D,BoS R&D,BoS Low R&D,BoS Slow Progress,22,Residential PV,GHG,82593.58025006353,ΔgCO2e/system
Low R&D,BoS R&D,BoS Low R&D,BoS Slow Progress,22,Residential PV,LCOE,0.0025484667680104184,Δ$/kWh
Low R&D,BoS R&D,BoS Low R&D,BoS Slow Progress,22,Residential PV,Labor,-113.37317704031261,Δ$/system
Low R&D,BoS R&D,BoS Low R&D,BoS Slow Progress,23,Residential PV,GHG,82588.16039428744,ΔgCO2e/system
Low R&D,BoS R&D,BoS Low R&D,BoS Slow Progress,23,Residential PV,LCOE,0.0029552912453495866,Δ$/kWh
Low R&D,BoS R&D,BoS Low R&D,BoS Slow Progress,23,Residential PV,Labor,-160.29983747913388,Δ$/system
Low R&D,BoS R&D,BoS Low R&D,BoS Slow Progress,24,Residential PV,GHG,82591.15641759864,ΔgCO2e/system
Low R&D,BoS R&D,BoS Low R&D,BoS Slow Progress,24,Residential PV,LCOE,0.0030285766569805445,Δ$/kWh
Low R&D,BoS R&D,BoS Low R&D,BoS Slow Progress,24,Residential PV,Labor,-174.49363308087754,Δ$/system
Low R&D,BoS R&D,BoS Low R&D,BoS Slow Progress,25,Residential PV,GHG,82591.98674054914,ΔgCO2e/system
Low R&D,BoS R&D,BoS Low R&D,BoS Slow Progress,25,Residential PV,LCOE,0.002403079384746279,Δ$/kWh
Low R&D,BoS R&D,BoS Low R&D,BoS Slow Progress,25,Residential PV,Labor,-124.43205937571179,Δ$/system
Low R&D,BoS R&D,BoS Low R&D,BoS Slow Progress,26,Residential PV,GHG,82596.82185764023,ΔgCO2e/system
Low R&D,BoS R&D,BoS Low R&D,BoS Slow Progress,26,Residential PV,LCOE,0.0026053562204625402,Δ$/kWh
Low R&D,BoS R&D,BoS Low R&D,BoS Slow Progress,26,Residential PV,Labor,-125.31892926880755,Δ$/system
Low R&D,BoS R&D,BoS Low R&D,BoS Slow Progress,27,Residential PV,GHG,82585.07343077825,ΔgCO2e/system
Low R&D,BoS R&D,BoS Low R&D,BoS Slow Progress,27,Residential PV,LCOE,0.002616728947087796,Δ$/kWh
Low R&D,BoS R&D,BoS Low R&D,BoS Slow Progress,27,Residential PV,Labor,-130.1886276772525,Δ$/system
Low R&D,BoS R&D,BoS Low R&D,BoS Slow Progress,28,Residential PV,GHG,82587.71242301128,ΔgCO2e/system
Low R&D,BoS R&D,BoS Low R&D,BoS Slow Progress,28,Residential PV,LCOE,0.003025355294991691,Δ$/kWh
Low R&D,BoS R&D,BoS Low R&D,BoS Slow Progress,28,Residential PV,Labor,-177.01481603558227,Δ$/system
Low R&D,BoS R&D,BoS Low R&D,BoS Slow Progress,29,Residential PV,GHG,82593.52465955395,ΔgCO2e/system
Low R&D,BoS R&D,BoS Low R&D,BoS Slow Progress,29,Residential PV,LCOE,0.0024793497432761963,Δ$/kWh
