Technology	Type	Index	Offset	Description	Notes
Biorefinery 1.0	Capital	Preprocessing	0	process area capital costs	
Biorefinery 1.0	Capital	Fermentation	1	process area capital costs	
Biorefinery 1.0	Capital	Conversion	2	process area capital costs	
Biorefinery 1.0	Capital	Separations	3	process area capital costs	
Biorefinery 1.0	Fixed	Rent	0		
Biorefinery 1.0	Fixed	Insurance	1		
Biorefinery 1.0	Input	Feedstock	0		
Biorefinery 1.0	Input	Natural Gas	1		
Biorefinery 1.0	Output	Biofuel	0		
Biorefinery 1.0	Technical Parameter	Fossil GHG	0	kg CO2-eq/year	
Biorefinery 1.0	Technical Parameter	Biogenic GHG	1	kg CO2-eq/year	
Biorefinery 1.0	Technical Parameter	Employment	2	person-hours/year	
Biorefinery 1.0	Metric	Jobs	0	person-hours/gal biofuel	
Biorefinery 1.0	Metric	Fossil GHG	1	kg CO2-eq/gal biofuel	
Biorefinery 1.0	Metric	Total GHG	2	kg CO2-eq/gal biofuel	
