t,capcost,i,fom,vom,heatrate
2010.0,14698.082460678064,Nuclear,155.624298,3.4,10.497
2011.0,14695.522542901834,Nuclear,155.624298,3.4,10.497
2012.0,14698.040859395274,Nuclear,155.624298,3.4,10.497
2013.0,14697.527185912293,Nuclear,155.624298,3.4,10.497
2014.0,14699.861395419393,Nuclear,155.624298,3.4,10.497
2015.0,14695.70048217227,Nuclear,155.624298,3.4,10.497
2016.0,14698.132136984763,Nuclear,155.624298,3.4,10.497
2017.0,14697.718845641215,Nuclear,155.624298,3.4,10.497
2018.0,14699.587111420602,Nuclear,155.624298,3.4,10.497
2019.0,14698.00666824849,Nuclear,155.624298,3.4,10.497
2020.0,14694.701702686143,Nuclear,155.624298,3.4,10.497
2021.0,14695.721173537137,Nuclear,155.624298,3.4,10.497
2022.0,14698.85635398311,Nuclear,155.624298,3.4,10.497
2023.0,14697.667284749095,Nuclear,155.624298,3.4,10.497
2024.0,14697.23198771868,Nuclear,155.624298,3.4,10.497
2025.0,14698.393124287299,Nuclear,155.624298,3.4,10.497
2026.0,14698.107191212657,Nuclear,155.624298,3.4,10.497
2027.0,14696.282633365323,Nuclear,155.624298,3.4,10.497
2028.0,14697.916999662395,Nuclear,155.624298,3.4,10.497
2029.0,14696.757746439058,Nuclear,155.624298,3.4,10.497
2030.0,14694.824341117888,Nuclear,155.624298,3.4,10.497
2031.0,14695.642207883118,Nuclear,155.624298,3.4,10.497
2032.0,14697.498460510815,Nuclear,155.624298,3.4,10.497
2033.0,14712.589984307544,Nuclear,155.624298,3.4,10.497
2034.0,15024.945551704981,Nuclear,155.624298,3.4,10.497
2035.0,15026.893690110011,Nuclear,155.624298,3.4,10.497
2036.0,13978.458494370312,Nuclear,155.624298,3.4,10.497
2037.0,12551.735166011156,Nuclear,155.624298,3.4,10.497
2038.0,11124.126999500133,Nuclear,155.624298,3.4,10.497
2039.0,9438.827960494425,Nuclear,155.624298,3.4,10.497
2040.0,7951.709541135501,Nuclear,155.624298,3.4,10.497
2041.0,6930.96139982291,Nuclear,155.624298,3.4,10.497
2042.0,6361.028301330536,Nuclear,155.624298,3.4,10.497
2043.0,6086.791761664248,Nuclear,155.624298,3.4,10.497
2044.0,5939.064093728864,Nuclear,155.624298,3.4,10.497
2045.0,5863.334020631939,Nuclear,155.624298,3.4,10.497
2046.0,5782.2164429365575,Nuclear,155.624298,3.4,10.497
2047.0,5643.9622346812475,Nuclear,155.624298,3.4,10.497
2048.0,5432.468175153458,Nuclear,155.624298,3.4,10.497
2049.0,5209.5035925157545,Nuclear,155.624298,3.4,10.497
2050.0,5009.525346330318,Nuclear,155.624298,3.4,10.497
2051.0,4847.695810224165,Nuclear,155.624298,3.4,10.497
2052.0,4708.436875307919,Nuclear,155.624298,3.4,10.497
2053.0,4622.0430688562465,Nuclear,155.624298,3.4,10.497
2054.0,4578.443216674469,Nuclear,155.624298,3.4,10.497
2055.0,4528.110327621168,Nuclear,155.624298,3.4,10.497
2056.0,4465.515527483989,Nuclear,155.624298,3.4,10.497
2057.0,4384.686497314749,Nuclear,155.624298,3.4,10.497
2058.0,4299.198335390176,Nuclear,155.624298,3.4,10.497
2059.0,4220.411146171253,Nuclear,155.624298,3.4,10.497
2060.0,4160.555999753541,Nuclear,155.624298,3.4,10.497
