Investment	Category	Tranche	Notes
State of Technology	Overall Process Efficiency	State of Technology	
Incremental Progress	Overall Process Efficiency	OPE Incremental	
Moderate Progress	Overall Process Efficiency	OPE Moderate	
Leap Forward	Overall Process Efficiency	OPE Leap	
State of Technology	Co-Product Revenue	State of Technology	
Incremental Progress	Co-Product Revenue	CPR Incremental	
Moderate Progress	Co-Product Revenue	CPR Moderate	
Leap Forward	Co-Product Revenue	CPR Leap	
State of Technology	Fatty Acid Composition	State of Technology	
Incremental Progress	Fatty Acid Composition	FAC Incremental	
Moderate Progress	Fatty Acid Composition	FAC Moderate	
Leap Forward	Fatty Acid Composition	FAC Leap	
